Event Time (Temps universel coordonné),Point Name,Northing,Easting,Elevation,ReferenceNorthing,ReferenceEasting,ReferenceElevation,StdDevNorthing,StdDevEasting,StdDevElevation
2023-09-13 08:24:12,st001,1185070.0001,2564880.0017,520.0005,1185070.0000,2564880.0000,520.0000,0.0004456,0.0002841,0.0001429
2023-09-13 08:24:12,Ref_1,1185071.1240,2564879.2070,519.7990,1185071.1240,2564879.2070,519.7990,0.0000317,0.0000317,0.0000316
2023-09-13 08:24:12,Ref_2,1185069.5600,2564876.7790,520.6010,1185069.5600,2564876.7790,520.6010,0.0000317,0.0000317,0.0000316
2023-09-13 08:24:12,Ref_3,1185065.6890,2564881.7870,519.3410,1185065.6890,2564881.7870,519.3410,0.0000317,0.0000317,0.0000316
2023-09-13 08:24:12,KM_000_D,1185068.5329,2564879.1722,519.6552,1185068.0659,2564878.9094,519.5454,0.0191932,0.0106707,0.0045049
2023-09-13 08:24:12,KM_000_G,1185068.8020,2564879.3637,519.5842,1185068.8020,2564879.3620,519.5840,0.0189885,0.0099397,0.0065757
2023-09-13 08:24:12,KM_035_D,1185068.3118,2564879.4717,519.6537,1185068.3120,2564879.4700,519.6540,0.0210406,0.0064557,0.0043170
2023-09-13 08:24:12,KM_035_G,1185068.5878,2564879.6678,519.5765,1185068.5880,2564879.6650,519.5760,0.0209824,0.0048238,0.0062906
2023-09-13 08:24:12,KM_070_D,1185068.0867,2564879.7802,519.6544,1185068.0880,2564879.7790,519.6540,0.0219459,0.0024246,0.0039717
2023-09-13 08:24:12,KM_070_G,1185068.3515,2564879.9757,519.5752,1185068.3510,2564879.9740,519.5740,0.0217198,0.0003773,0.0056033
2023-09-13 08:24:12,KM_105_D,1185067.8593,2564880.0752,519.6584,1185067.8580,2564880.0730,519.6580,0.0221331,0.0009533,0.0035456
2023-09-13 08:24:12,KM_105_G,1185068.1190,2564880.2628,519.5685,1185068.1190,2564880.2610,519.5680,0.0216476,0.0031410,0.0049788
2023-09-13 08:24:12,KM_140_D,1185067.6253,2564880.3790,519.6194,1185067.6260,2564880.3770,519.6190,0.0218606,0.0036116,0.0035209
2023-09-13 08:24:12,KM_140_G,1185067.8841,2564880.5671,519.5722,1185067.8840,2564880.5650,519.5720,0.0212360,0.0057990,0.0043109
